Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
Poder 92.1 FM,Trujillo,Estadal,Radio,Privado,Diaria,"Sucesos, Deporte, Economía,
Salud, Política"
Superior 88.3 FM,Trujillo,Estadal,Radio,Privado,Diaria,"Política, Deportes,  Salud,
Economía, Sucesos"
"Televisora Regional de Portuguesa
Trp",Portuguesa,Estadal,TV (Señal analógica,Privado,Diaria,política cultura
Radio Luz 102.1 FM,Portuguesa,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,La Biblia
Portuguesa al Día,Portuguesa,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,Fuentes propias
Radio Tiempo FM,Trujillo,Estadal,Radio,Privado,Diaria,"Política  Sucesos, Opinión,
Economía, Salud, Cultura, Deportes"
Estrategia 100.3 FM,Portuguesa,Estadal,Radio,Privado,Diaria,Fuentes propias
Domingo Savio FM,Trujillo,Estadal,Radio,Privado,Diaria,"Política, Deportes, Sucesos,
Economía, Salud"
Tu Dial,Portuguesa,Municipal,Radio,Privado,Diaria,Oficialista
WopsMedia FM,Trujillo,Estadal,Radio,Privado,Diaria,"Deportes, Política, Salud, Economía"
radio imagen 101.7 FM,Portuguesa,Municipal,Radio,Privado,Diaria,propia y La Biblia
Ven FM 89.7,Trujillo,Estadal,Radio,Privado,Diaria,Recreativos
,,,"exclusivamente vía
web",,,
Espectáculo 100.7 FM,Portuguesa,Municipal,Radio,Privado,Diaria,Propia
HCTV,Apure,Local,TV Cable,Privado,Diaria,Cultural e Informativa
Kairos FM,Portuguesa,Local,Radio,Privado,Diaria,Fuentes propias
Radio Sensación 103.3 FM,Barinas,Municipal,Radio,Privado,Otra,Programación cristiana
Desafío FM,Portuguesa,Municipal,Radio,Privado,Diaria,Solo música llanera
Play Radio 101.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Información general y música
Rumbera Acarigua,Portuguesa,Municipal,Radio,Privado,Diaria,Prensa nacional
Radio Riberas Stereo 104.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Información general y música
Total Stereo 93.7 FM,Portuguesa,Municipal,Radio,Privado,Diaria,propia
Radio Favorita 103. 1 FM,Barinas,Local,Radio,Privado,Diaria,Información general y música
Luz TV Internacional,Portuguesa,Estadal,TV (Señal analógica,Privado,Diaria,"La Biblia, valores cristianos"
Brisas del Caparo 92.3 FM,Barinas,Local,Radio,Estatal,Diaria,"Información general, comunidades,
cultura, deportes"
Trincheras 92.5 FM,Apure,Local,Radio,Estatal,Diaria,"Informativas, recreativas"
Fascinacion Stereo 103.1 FM,Barinas,Municipal,Radio,Privado,Ocasional,Música
Frontera 92.1 FM,Apure,Local,Radio,Privado,Diaria,"Recreativa, informativa"
"RADIO ADORADORA STEREO
102.1 FM",Barinas,Municipal,Radio,Privado,Diaria,Programación cristiana
Arpa99.9 FM,Apure,Local,Radio,Privado,Diaria,"Recreativa, informativa"
La Mejor FM 105.5,Barinas,Municipal,Radio,Privado,Diaria,Información general y música
Alpha 97.5 FM,Apure,Local,Radio,Privado,Diaria,"Informativa, recreativa"
Cordillera 90.3 FM,Barinas,Municipal,Radio,Privado,Diaria,"Información general, comunidades,
economía, deportes, cultura"
Universal TV,Portuguesa,Estadal,TV (Señal analógica,Privado,Diaria,"Propia
Page"
La Nueva 96.1 FM,Barinas,Municipal,Radio,Privado,Diaria,Música
Caigaquiencaiga.net,Zulia,Nacional,TV (Señal analógica,Privado,Diaria,Todas las fuentes informativas
La Voz del Pueblo 97.7 FM,Barinas,Municipal,Radio,Estatal,Diaria,"Información general, comunidades,
políticas, deportes"
Contactv,Apure,"Regional (varios
estados en
simultáneo",TV (Señal analógica,Privado,Diaria,Religión
